ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,890,Yashawini Gole,24,8,1,2,2
2,816,Shravya Krishnan,77,7,1,4,1
3,579,Abeer Gill,71,8,6,3,1
4,709,Ranveer Korpal,72,4,2,1,1
5,977,Ikbal More,35,6,1,2,2
6,439,Lakshmi Trivedi,38,2,2,5,1
7,825,Hemangini Hora,63,4,4,1,2
8,870,Naksh Chauhan,77,1,3,1,2
9,341,Diya Patil,18,3,4,4,1
10,555,Isaac Malhotra,20,4,7,4,1
11,270,Faris Bhagat,40,2,6,2,1
12,264,Om Ganesan,79,3,6,1,2
13,34,Krisha Setty,39,1,4,1,1
14,294,Lila Khosla,65,5,2,5,2
15,675,Fariq Wason,72,3,2,1,1
16,459,Ishwar Dugal,50,3,1,4,1
17,650,Dipta Ram,34,8,5,4,2
18,98,Gopal Varma,66,6,2,1,1
19,902,Ucchal Ganesan,44,2,4,5,2
20,601,Laksh Hegde,18,3,5,4,1
21,263,Ekaja Kara,37,3,3,2,1
22,419,Aarnav Barman,48,2,2,1,1
23,241,Jason Raj,64,6,3,3,2
24,170,Teerth Bandi,56,6,4,1,1
25,457,Samarth Sani,31,7,7,1,2
26,123,Triveni Kata,42,8,5,2,2
27,195,Noah Sundaram,68,6,7,2,1
28,946,Michael Varghese,60,6,6,2,1
29,466,Gopal Chad,68,4,1,1,2
30,918,Noah Parikh,60,6,1,1,1
31,788,Omya Raghavan,20,2,4,3,2
32,213,Zaitra Hayer,52,3,3,5,2
33,690,Tamanna Loyal,46,8,6,2,1
34,908,Maanas Chanda,31,7,6,1,2
35,937,Eshana Raval,56,3,2,5,2
36,817,Daksh Bail,74,8,6,3,2
37,521,Anmol Natarajan,20,4,7,4,1
38,932,Christopher Char,23,2,6,5,1
39,925,Vaishnavi Dar,31,4,7,1,2
40,893,Neel Chakrabarti,72,4,2,3,2
41,589,Aryan Patla,76,4,2,3,2
42,16,Tejas Dutta,26,4,5,2,1
43,459,Jagdish Keer,70,1,2,2,2
44,827,Nidhi Jani,77,1,3,4,2
45,294,Gopal Radhakrishnan,44,3,4,4,1
46,845,Jeevika Viswanathan,46,7,5,5,1
47,473,Ekta Devan,57,2,5,2,1
48,500,Leela Suresh,21,2,7,4,2
49,897,Lipika Shanker,63,8,3,3,2
50,203,Robert Bhasin,60,6,5,1,2
51,99,Jagat Shroff,65,3,5,5,1
52,192,Andrew Buch,37,4,2,2,1
53,635,Abhimanyu Parekh,53,5,4,1,2
54,827,Patrick Nagy,45,7,1,4,1
55,28,Finn Tiwari,72,4,3,2,1
56,902,Jyoti Goda,72,7,4,3,2
57,334,Harshil Kurian,20,7,5,3,2
58,947,Damyanti Grewal,37,6,3,1,2
59,528,Baljiwan Lall,42,1,5,5,1
60,388,Nakul Bhat,50,3,7,2,1
61,918,Bina Kaul,78,6,7,1,2
62,587,Fitan Misra,23,1,4,1,2
63,102,Eesha Narula,20,7,7,3,2
64,878,Harsh Upadhyay,18,3,5,3,1
65,841,Veer Manda,35,8,3,2,2
66,59,Zilmil Kala,73,3,2,1,2
67,106,Harita Sarkar,33,4,6,4,2
68,691,Dev Gupta,44,4,5,2,2
69,573,Max Dar,43,2,7,1,1
70,277,Lopa Madan,74,8,2,4,1
71,404,Pranav Nagi,78,4,5,1,2
72,475,Jyoti Menon,20,3,7,1,2
73,873,Charan Tara,53,5,6,2,1
74,556,Harish Behl,64,3,3,1,1
75,277,Chakradhar Badami,61,1,3,3,2
76,22,Anusha Chopra,44,2,6,4,2
77,472,Kritika Kapoor,61,5,2,1,1
78,649,Vasatika Joshi,49,1,4,2,2
79,303,Eesha Hayre,33,3,4,5,1
80,550,Ronith Thaman,23,5,7,2,2
81,540,Krishna Iyer,51,6,3,2,2
82,90,Abhimanyu Wagle,42,1,6,4,2
83,227,Yutika Sarna,20,2,5,3,2
84,89,Pushti Sarin,23,8,4,2,1
85,253,Imaran Bala,18,1,2,5,1
86,604,Faris Bir,21,4,4,3,2
87,984,Aahana Nagarajan,64,8,6,2,2
88,905,Madhavi Gaba,55,5,2,5,1
89,968,Nikita Vaidya,44,3,1,2,1
90,261,Henry Memon,37,5,1,1,1
91,386,Baljiwan Dugar,49,7,2,3,2
92,940,Aadhya Vaidya,78,8,6,4,1
93,861,Maanas Bail,36,6,4,5,1
94,788,Lakshmi Barman,76,3,3,3,2
95,60,Krisha Saha,39,5,1,3,1
96,293,Maanav Date,71,4,4,1,1
97,38,Wakeeta Handa,70,5,4,1,2
98,29,Sara Sehgal,71,8,7,4,1
99,321,Bhanumati Nanda,38,5,7,2,1
100,905,Manthan Srinivas,61,7,4,3,1
101,633,Ucchal Bhavsar,39,7,5,5,2
102,251,Isha Bhavsar,70,1,7,5,2
103,934,Lakshmi Sodhi,56,3,4,2,2
104,410,Rushil Pathak,38,1,2,4,1
105,446,Xavier Hayer,24,6,1,3,1
106,671,Brinda Muni,66,3,3,4,1
107,513,Bina Dar,60,3,2,5,1
108,732,Urmi Nagar,55,4,1,2,1
109,955,Xavier Dube,46,4,2,5,1
