EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,27,20,2,2,KA367878,Hemang Sen,1972-08-10,1,5,False,2006-08-24
2,30,23,4,8,KA880685,Nakul Narayanan,1992-03-27,1,2,False,2015-04-18
3,19,17,9,6,KA506568,Xavier Nadig,1989-11-16,1,7,False,2012-12-02
4,23,15,1,10,KA552599,Mohini Sunder,1999-03-21,1,3,False,2017-10-26
5,15,9,7,6,KA165472,Nathaniel Sharma,1975-06-16,2,8,False,2006-09-26
6,6,15,9,3,KA784206,Gunbir Dhillon,1987-10-06,1,4,False,2009-12-03
7,4,6,9,9,KA100476,Vansha Boase,1971-10-13,2,3,False,2024-12-07
8,1,6,1,9,KA291673,Anamika Samra,1997-02-05,2,7,False,2024-10-31
9,22,13,8,10,KA652012,Urishilla Madan,1976-03-29,2,2,False,2008-08-30
10,4,22,2,6,KA290110,Jagvi Thakur,1989-01-05,2,6,False,2020-06-06
11,15,11,9,9,KA628879,Nimrat Batra,1991-01-18,1,2,False,2010-09-13
12,15,19,7,10,KA257791,Rishi Mani,1970-03-11,1,3,False,2006-11-16
13,15,20,3,7,KA992870,Ganga Mahal,1972-07-22,1,3,False,2023-08-13
14,17,17,9,2,KA359589,Anamika Mishra,1978-06-24,2,2,False,2007-07-23
15,12,14,10,7,KA414407,Ekavir Bains,1968-10-10,1,2,False,2023-01-02
16,29,10,5,3,KA117444,Eiravati Rastogi,1987-06-08,1,5,False,2023-05-14
17,19,3,8,9,KA753752,Ekalinga Sami,1981-04-23,1,3,False,2017-08-31
18,30,26,4,9,KA562650,Madhav Anand,1977-03-10,1,3,False,2024-05-03
19,20,5,9,9,KA807385,Charan Tripathi,1998-06-22,2,1,False,2021-01-23
20,4,4,3,6,KA897223,Rachit Seth,1981-10-25,1,3,False,2016-08-17
21,25,3,7,5,KA375647,Victor Issac,1996-07-16,2,1,False,2017-09-25
22,3,6,5,9,KA156086,Omkaar Guha,1981-06-03,2,3,False,2024-02-14
23,1,27,5,10,KA178771,Rajeshri Biswas,1981-09-24,2,1,False,2007-02-20
24,18,10,4,5,KA140633,Aarush Thakkar,1969-01-14,1,4,False,2012-06-27
25,16,13,5,1,KA235385,Yagnesh Singhal,1995-01-21,1,2,False,2009-01-22
26,11,3,1,8,KA266409,Parth Prakash,1995-06-27,2,5,False,2006-11-27
27,29,24,10,3,KA460920,Mugdha Chaudhary,1966-06-11,2,7,False,2017-03-12
28,25,11,10,3,KA154660,Hiral Goel,1980-03-16,2,1,False,2015-10-23
29,25,13,7,2,KA874954,Yashasvi Mani,1994-11-14,2,5,False,2014-11-14
30,8,11,3,1,KA643035,Balveer Grover,1997-06-15,1,8,False,2024-04-15
31,9,17,5,7,KA186965,Meghana Saran,1967-07-16,2,5,False,2018-04-01
32,7,10,8,3,KA659376,Samesh Bala,1972-04-19,2,3,False,2013-08-11
33,14,1,4,8,KA841944,Raagini Walia,1981-06-09,2,6,False,2024-03-24
34,1,2,3,7,KA229200,Qushi Mandal,1966-04-25,2,8,False,2008-07-08
35,27,5,10,6,KA187107,Omya Johal,1972-10-23,1,2,False,2018-09-03
36,17,21,3,6,KA603267,Jagrati Pau,1981-04-10,1,8,False,2021-01-02
37,28,8,7,2,KA404427,Falak Sunder,1991-02-19,1,5,False,2021-08-29
38,4,27,4,6,KA866495,Yashasvi Patel,1986-02-03,1,3,False,2008-04-23
39,24,11,3,7,KA548512,Upkaar Zachariah,1993-07-08,2,6,False,2011-05-11
40,21,23,7,7,KA416387,Ojas Hayer,1971-07-13,2,1,False,2015-09-25
41,2,18,9,9,KA303936,Sanya Gala,1974-10-22,2,3,False,2016-05-30
42,22,5,5,7,KA278337,Sathvik Dugar,1969-08-04,2,5,False,2010-12-01
43,3,11,4,9,KA187855,Baghyawati Thakkar,1968-11-28,2,1,False,2015-07-04
44,14,2,2,7,KA221061,Tripti Sami,1998-10-05,2,7,False,2015-03-03
45,22,9,8,10,KA936568,Ronith Deep,1982-01-26,2,5,False,2021-01-07
46,29,13,2,1,KA339017,Teerth Patla,1973-04-08,2,1,False,2023-02-04
47,18,24,5,3,KA674356,Hamsini Sibal,1969-07-25,1,7,False,2018-08-08
48,2,4,3,1,KA748085,Kashish Kumer,1986-04-25,2,8,False,2012-07-17
49,4,16,1,6,KA812679,Isaiah Sinha,1980-10-24,2,7,False,2019-09-08
50,7,18,5,3,KA652899,Udant Jani,1993-10-03,2,3,False,2011-10-24
