VehicleID,CaseMasterID,VehicleType,VehicleNumber,Owner
1,663,Car,KA07ED1398,Anusha Dhingra
2,972,Car,KA14CA1908,Hemang Sami
3,825,Bike,KA02CC5809,Gayathri Chahal
4,353,Car,KA57EE6213,Nitesh Sachar
5,295,Bike,KA11DE4127,Upkaar Gokhale
6,331,Bus,KA04BE1875,Dominic Grover
7,905,Auto,KA23EB8525,Shivansh Dhingra
8,859,Car,KA47EE8524,Amrita Sibal
9,141,Car,KA56DA1220,Anika Ravi
10,571,Auto,KA30AC3734,Omisha Dasgupta
11,189,Car,KA16EA7212,Guneet Halder
12,209,Car,KA12EC5087,Wakeeta Choudhary
13,705,Truck,KA41DC1501,Oni Johal
14,194,Auto,KA44EE3860,Yashawini Lalla
15,359,Truck,KA07CE7545,William Palan
16,916,Truck,KA59DD1983,Warda Kapoor
17,737,Auto,KA26AD8318,George Ghosh
18,828,Truck,KA12CC5212,Wyatt Dada
19,320,Car,KA52BE7886,Qushi Desai
20,814,Bike,KA57EC7108,Charan Patla
21,497,Bus,KA51EE1180,Upadhriti Batra
22,169,Truck,KA25BD8575,Jai Chokshi
23,227,Truck,KA59BB5854,Ayush Radhakrishnan
24,556,Car,KA18CA2444,Zaid Narang
25,306,Bike,KA36ED7436,Charita Chand
26,999,Bus,KA08EE9709,Elijah Verma
27,56,Bus,KA14DB5165,Faqid Iyengar
28,224,Car,KA18AB3469,Libni Sahota
29,393,Car,KA20CB9419,Balhaar Bhatt
30,777,Car,KA57CC6239,Gabriel Suresh
31,623,Bus,KA04CE3207,Gaurang Divan
32,628,Auto,KA13BA1046,Bahadurjit Contractor
33,697,Bus,KA07DC4619,Harita Grover
34,577,Truck,KA33DA4103,Arunima Grover
35,543,Car,KA07CA5072,Daniel Kanda
36,760,Bike,KA28DD1531,Abdul Baral
37,468,Bike,KA52EE2466,Edhitha Raju
38,521,Car,KA48EA6072,Harrison Dixit
39,956,Bus,KA07AD4560,Udarsh Chand
40,780,Car,KA57DE7191,Mason Dasgupta
41,717,Car,KA36CA3881,Warinder Dhaliwal
42,154,Bike,KA53BC9248,Tanmayi Buch
43,846,Bike,KA43BE9504,Kabir Minhas
44,144,Truck,KA11BE7770,Gautam Loyal
45,263,Bus,KA23CC7774,Yadavi Chanda
46,45,Truck,KA39DD9656,Max Nagi
47,998,Bus,KA34DA7840,Lopa Chaudhari
48,405,Truck,KA24CA1156,Lucky Soni
49,236,Truck,KA32ED5771,Matthew Kapadia
50,156,Auto,KA29CD1801,Hitesh Prasad
51,688,Bike,KA31CC9246,Hamsini Narasimhan
52,714,Auto,KA32BC6466,Yashawini Dyal
53,224,Bus,KA49BD2293,Hardik Sarma
54,636,Bike,KA25EA5853,Rohan Balasubramanian
55,692,Car,KA38DC5861,Jeet Sehgal
56,328,Auto,KA24EA6732,Nitesh Vala
57,518,Auto,KA12DE3333,Jacob Dhaliwal
58,34,Bus,KA32EE6669,Yashodhara Sarna
59,726,Bus,KA45BA6182,Ridhi Chaudhry
60,837,Car,KA16DB9359,Indira Loyal
61,255,Bus,KA03AA6871,Madhav Virk
62,519,Car,KA10DD5559,Charita Gulati
63,415,Auto,KA48BB8715,Ekapad Srinivasan
64,797,Truck,KA59DD9725,Darika Agate
65,667,Bike,KA18BA9935,Hemang Nanda
66,778,Auto,KA19DA8400,Charan Sachdev
67,219,Auto,KA57BA8485,Anthony Sami
68,972,Auto,KA27EC5888,Manan Deshpande
69,6,Truck,KA39BD7535,Yamini Varty
70,959,Truck,KA20EC6945,Devansh Purohit
71,155,Car,KA46DC6973,Anita Dayal
72,604,Truck,KA59CE5848,Sudiksha Gupta
73,632,Auto,KA35CE6765,Dakshesh Ray
74,119,Auto,KA59AC3754,Chandran Nazareth
75,853,Auto,KA59DD4225,Maanas Iyengar
76,104,Bus,KA29DC3149,Kashish Yogi
77,763,Car,KA08CB7418,Utkarsh Bandi
78,577,Auto,KA26BB3706,Mekhala Sampath
79,433,Bus,KA33BB8060,Jasmit Pandit
80,119,Bus,KA20EC1244,Tanay D’Alia
81,833,Auto,KA46BC1038,Yashvi Cherian
82,935,Car,KA12DE2563,Pallavi Baria
83,830,Car,KA28EC2321,Praneel Pau
84,551,Auto,KA13AE9698,Gauri Kibe
85,796,Auto,KA24DC5859,Girindra Parekh
86,217,Bus,KA17BE7028,Manthan Gandhi
87,411,Bus,KA06DB8963,Alka Savant
88,591,Auto,KA20EE4601,Anvi Mitter
89,87,Truck,KA46CE2438,Sara Misra
90,852,Truck,KA15CB1786,Aditya Keer
91,385,Auto,KA08ED1276,Sathvik Prashad
92,114,Bike,KA46DC7956,Rayaan Yohannan
93,891,Bike,KA19CC3847,Triya Yadav
94,539,Bike,KA05AD3362,Aahana Sahni
95,857,Bus,KA30CC1680,Ayaan Kadakia
96,564,Car,KA51DB1047,Mekhala Setty
97,752,Bus,KA39CE2577,Tejas Golla
98,945,Car,KA04BE2501,Yashawini Lala
99,200,Auto,KA46CB5648,Finn Sarraf
100,316,Auto,KA28BA1637,Zayan Chaudhari
101,374,Bike,KA54EC7060,Oeshi Mukhopadhyay
102,679,Truck,KA40DE8016,Girish Khalsa
103,938,Bike,KA13AB7186,Advika Narain
104,459,Bike,KA17AE6816,Om Ravel
105,858,Bus,KA42EE5619,Kala Natarajan
106,648,Bike,KA10DA5185,Om Biswas
107,107,Bike,KA54CB6908,Yadavi Shroff
108,16,Bus,KA22CE4159,Hiral Morar
109,198,Auto,KA60BE4619,Chakrika Chaudhary
110,454,Car,KA04BA7113,Mitali Kadakia
111,189,Car,KA23CB6139,Hemani Muni
112,404,Truck,KA12CE9500,Hitesh Mahajan
113,74,Truck,KA20CE6455,Gabriel Gade
114,333,Truck,KA16CE5653,Varenya Baria
115,538,Car,KA18EB7082,Aarnav Mistry
116,583,Truck,KA13AA9381,Vedant Mukhopadhyay
117,150,Car,KA01DE4315,Jairaj Edwin
118,947,Bus,KA08ED5048,Nidhi Chaudhry
119,280,Truck,KA44EC1117,Pratyush Loyal
120,759,Car,KA25DB9038,Atharv Garg
121,622,Truck,KA55CE9613,Imaran Sankaran
122,519,Truck,KA48CB7557,Gaurika Verma
123,503,Truck,KA55AE4504,Kiaan Chaudhuri
124,857,Car,KA47BE7930,Chanakya Mitter
125,415,Bike,KA52ED1488,Harini Buch
126,149,Auto,KA16AC8450,Peter Bala
127,5,Car,KA16DA8916,Sai Borra
128,600,Bus,KA47CD1373,Priya Dyal
129,767,Car,KA53BA2925,Megha Bath
130,949,Truck,KA42AD2740,Ekapad Mahajan
131,6,Truck,KA03BD3132,Pallavi Bhakta
132,834,Bike,KA57EA7952,Ekaraj Radhakrishnan
133,728,Bus,KA55CE9820,Chakradhar Ravi
134,379,Truck,KA50EE8684,Girik Gulati
135,94,Car,KA41DD7679,Chakradev Zachariah
136,779,Bus,KA44AD5858,Shaurya Ganesan
137,705,Bike,KA37BE4169,Kashish Badami
138,740,Auto,KA60DD9753,Vrishti Kurian
139,226,Bus,KA45CC5893,Kabir Sant
140,855,Bus,KA19DA9019,Sanya Sehgal
141,971,Auto,KA60BD3399,Utkarsh Mannan
142,261,Bike,KA53CA8533,Aditya Kaur
143,484,Bike,KA09CC6656,Lakshmi Barad
144,43,Car,KA51EC4000,Aarnav Deshpande
145,43,Bus,KA22DD2638,Hardik Kanda
146,697,Truck,KA24DC7322,Amol Bhagat
147,115,Bus,KA51DD2894,Mahika Maharaj
148,853,Bus,KA40BE3410,Jagvi Dora
149,945,Auto,KA05DC7904,Dhruv Kata
150,721,Car,KA18BE9779,Sai Madan
151,254,Auto,KA52DA2024,Frederick Shetty
152,245,Bike,KA01CE6826,Mahika Mutti
153,71,Bus,KA31BD8361,Anthony Gupta
154,709,Bike,KA12AA2965,Vincent Wable
155,505,Truck,KA18AE5097,Zayan Kumar
156,916,Bus,KA06AA4702,Watika Sant
157,601,Bike,KA57BD2130,Qasim Deo
158,881,Truck,KA58EC2567,Ekiya Goel
159,689,Bike,KA45BA8349,Watika Bahri
160,614,Bike,KA57BA5654,Kashvi Oommen
161,682,Car,KA17BE9768,Nandini Rau
162,8,Truck,KA59BB4505,Ishani Dash
163,442,Bus,KA28EB9168,Faraj Das
