VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,240,Urvi Mitra,26,2,0
2,332,Osha Dhaliwal,71,2,0
3,801,Azad Bahri,40,1,0
4,797,Quincy Parmar,41,1,0
5,170,Dalaja Gade,42,2,0
6,169,Tanmayi Nath,27,1,1
7,157,Nachiket Walia,65,1,1
8,474,Manya Ahuja,75,1,0
9,589,Tanvi Palla,5,1,1
10,438,Omya Patel,85,2,1
11,189,Indrajit Bhandari,83,1,0
12,129,Ekapad Pillai,55,1,1
13,877,Indira Bajwa,72,1,0
14,132,Gaurika Edwin,28,2,0
15,184,Yatan Bajwa,70,2,0
16,954,Chakradhar Sood,7,1,0
17,850,Maanas Gandhi,71,1,1
18,516,Qabil Badami,68,2,1
19,746,Hardik Rama,77,2,1
20,233,Raghav Arya,88,1,1
21,27,Sai Bhatt,74,1,0
22,204,Yachana Gupta,38,1,0
23,301,Anita Jaggi,9,2,1
24,466,Qabil Boase,6,2,1
25,403,Mitesh Mistry,18,2,0
26,777,Avi Devan,51,1,0
27,356,Shaurya Goda,41,1,0
28,391,Hemani Gulati,54,2,1
29,285,Aadi Bath,21,1,1
30,673,Rachita Chakraborty,50,2,0
31,600,Indrajit Wali,28,1,1
32,731,Tarak Kari,41,1,1
33,506,Bhavani Rajagopalan,28,2,1
34,31,Bahadurjit Samra,49,2,1
35,494,Hemangini Ranganathan,36,1,1
36,309,Amaira Bhatia,54,2,0
37,79,Zansi Minhas,56,2,0
38,393,Amruta Rajan,14,1,1
39,950,Yashvi Dutt,9,1,1
40,769,Aadi Oak,37,1,0
41,656,Fariq Kalita,35,1,1
42,780,Lohit Patel,72,1,1
43,394,David Saxena,50,2,0
44,258,Logan Sharma,37,2,1
45,604,Gaurang Divan,90,1,1
46,391,Damyanti Bahl,27,2,0
47,432,Rachit Savant,84,2,1
48,550,Ayushman Kata,63,2,0
49,36,Girish Sachdev,58,2,0
50,515,Yashodhara Chacko,6,2,1
51,269,George Shanker,55,1,1
52,955,Ekansh Bajwa,84,1,0
53,432,Omaja Bedi,84,1,0
54,369,Mitali Rana,37,2,1
55,683,Krishna Vohra,37,2,0
56,886,Eta Narain,32,1,1
57,876,Warjas Madan,54,1,0
58,98,Nisha Taneja,56,2,0
59,649,Dominic Chauhan,78,2,0
60,424,Champak Dugar,88,2,0
61,122,Indira Kalita,87,2,0
62,911,Radhika Sheth,6,1,0
63,793,Darsh Madan,14,1,1
64,439,Ekantika Solanki,44,1,0
65,111,Aarav Tak,24,1,0
66,44,Chakrika Ramachandran,55,1,0
67,588,Darika Sandhu,46,1,0
68,57,Zayyan Sagar,72,2,1
69,899,Matthew Kota,74,2,0
70,910,Eshana Rana,15,1,1
71,656,Udant Kara,43,2,0
72,810,Gaurav Tandon,54,1,0
73,350,Shaurya Ranganathan,53,1,1
74,959,Champak Kothari,89,2,1
75,840,Oviya Sur,60,2,0
76,779,Amaira Rao,61,2,0
77,95,Mugdha Dora,74,1,1
78,957,Adya Bath,21,1,1
79,686,Ojasvi Tara,24,1,1
80,468,Caleb Dey,63,1,0
81,804,Fiyaz Borra,26,2,1
82,976,Kamya Patel,76,2,1
83,576,Ayaan Natt,40,1,0
84,185,Abeer Narasimhan,26,2,1
85,245,Shivani Chowdhury,48,1,1
86,306,Onveer Doctor,57,2,1
87,170,Ojas Kota,12,2,0
88,256,Tamanna Rana,53,2,1
89,663,Udarsh Sant,11,1,1
90,604,Madhav Biswas,76,1,0
91,898,Anjali Dass,37,1,1
92,429,Saksham Som,90,1,0
93,241,Elijah Ghosh,45,2,0
94,208,Yutika Munshi,31,2,0
95,542,Om Panchal,26,2,0
96,814,Naveen Mohanty,75,2,0
97,957,Ekavir Peri,68,1,0
98,835,Isaac Oak,46,1,1
99,293,Tamanna Vig,82,2,0
100,236,Yochana Dara,67,1,0
101,917,Leena Chandra,51,2,0
102,692,Januja Sankaran,36,1,1
103,729,Liam Randhawa,19,2,1
104,494,Aarna Oak,87,2,0
105,817,David Ghosh,90,1,0
106,634,Dhriti Bhakta,39,2,1
107,134,Faras Om,36,2,1
108,253,Ishanvi Bobal,29,1,0
109,409,Ishwar Magar,47,1,1
110,19,Jackson Nori,83,2,0
111,105,Thomas Chatterjee,44,2,0
112,179,Fariq Krishna,19,1,1
113,468,Chasmum Chand,32,1,1
114,213,Xalak Trivedi,69,1,1
115,584,Barkha Ray,66,1,1
116,39,Karan Bajwa,43,1,0
117,697,Nandini Bains,82,1,1
118,809,Divya Palla,44,1,1
119,931,Arjun Dara,5,1,0
120,625,Noah Nair,67,1,0
121,947,Hemang Palan,68,1,0
122,687,Nimrat Dhingra,59,2,1
123,705,Jason Tata,9,2,0
124,838,Oliver Prabhakar,86,2,0
125,954,Pushti Setty,73,2,0
126,362,Yagnesh Bail,39,2,1
127,104,Nimrat Shankar,55,1,0
128,126,Janaki Ben,33,1,1
129,613,Warda Banik,53,2,1
130,881,Jyoti Sankar,18,1,1
131,435,Vinaya Wason,13,2,0
132,171,Inaya Chopra,73,1,1
133,53,Yashvi Oommen,63,1,0
134,532,Girik Kalita,74,1,0
135,676,Aachal Boase,45,1,0
136,499,Vinaya Gade,11,2,0
137,17,Abha Chakraborty,30,1,1
138,749,Sanya Pradhan,49,1,1
139,734,Yutika Grewal,42,1,0
140,357,Aadhya Loyal,12,2,0
141,711,Chakradev Apte,36,2,0
142,508,Vanya Shan,37,1,0
143,252,Ati Bal,52,1,0
144,635,Hamsini Kalita,54,2,0
145,388,Madhav Sabharwal,56,2,0
146,274,Kamya Majumdar,64,2,0
147,503,Leena Dass,7,2,0
148,212,Aadi Ram,56,1,0
149,103,Bina Sawhney,73,1,1
150,110,Girish Biswas,49,1,1
151,486,Ayushman Tella,31,1,1
152,821,Omaja Bumb,48,2,0
153,307,Abdul Swaminathan,41,2,0
154,290,Darpan Kalla,83,1,0
155,130,Leela Dani,21,1,0
156,865,Oliver Doshi,74,2,0
157,446,Timothy Rajagopal,90,2,1
158,4,Bhavani Sagar,55,1,1
159,648,Watika Sama,79,2,0
160,705,Gauri Sachdev,24,2,0
161,307,Tarak Mistry,26,1,1
162,569,Avi Shenoy,16,1,1
163,898,Garima Solanki,29,1,1
164,405,Sathvik Wagle,13,1,1
165,470,Upasna Zachariah,60,1,1
166,149,George Menon,12,2,0
167,913,Irya Raj,9,2,0
168,676,Janya Butala,8,1,1
169,64,Laban Nayak,77,2,0
170,552,Pahal Khatri,26,1,0
171,531,Gavin Sarraf,64,2,1
172,687,Kiaan Prasad,59,2,1
173,216,Ekaraj Srivastava,85,2,1
174,602,Nimrat Upadhyay,7,2,1
175,554,Maya Kala,50,1,1
176,904,Eshana Thaman,67,2,0
177,315,Irya Borde,67,2,1
178,668,Tanveer Grewal,87,2,0
179,758,Benjamin Dey,70,2,0
180,987,Ishwar Chahal,19,1,0
181,753,Simon Malhotra,73,2,0
182,617,Indali Lad,86,2,0
183,530,Ishaan Purohit,42,1,0
184,27,Nidhi Batta,25,2,1
185,390,Prisha Mukhopadhyay,50,1,1
186,455,Geetika Bajaj,47,1,1
187,52,Chaitanya Das,68,2,1
188,116,Aishani Yadav,34,2,1
189,328,Qasim Korpal,54,1,1
190,906,Zarna Johal,54,1,1
191,763,Vasana Mohanty,56,2,0
192,268,Yachana Walla,15,1,0
193,643,Diya Mitter,68,2,1
194,181,Alexander Soman,47,2,1
195,213,Ayushman Pant,32,2,1
196,583,Anay Kala,74,2,1
197,188,Siya Bhat,33,1,0
198,724,Mohini Jain,24,1,0
199,28,Aadhya Sundaram,66,1,1
200,392,Zinal Sharaf,14,1,0
201,140,Parth Balasubramanian,7,2,0
202,793,Janaki Sibal,19,1,1
203,581,Azad Kashyap,56,1,0
204,48,Xalak Shukla,76,2,0
205,947,Yochana Borah,84,2,1
206,611,Rachita Boase,34,1,0
207,917,Bhavani Kar,87,2,0
208,249,Udyati Sarkar,60,1,1
209,705,Brijesh Randhawa,38,2,0
210,164,Hritik Vyas,11,2,0
211,200,Rishi Dyal,46,1,0
212,377,Bakhshi Karan,30,1,0
213,667,Aashi Kapoor,84,2,1
214,909,Vyanjana Bobal,12,2,0
215,142,Aadhya Deshmukh,41,2,0
216,734,Ekavir Dash,74,2,0
217,184,Upma Srinivasan,51,1,1
218,325,Balvan Tank,84,1,1
219,685,Gopal Sunder,41,1,0
220,216,Samar Gade,43,2,1
221,645,Charles Lala,62,2,0
222,662,Dev Kant,37,2,0
223,952,Leela Memon,52,1,0
224,730,Omisha Saran,73,2,1
225,73,Oeshi Sodhi,86,2,1
226,227,Geetika Sridhar,67,2,0
227,501,Aarush Venkatesh,53,1,0
228,593,Saanvi Saran,5,1,0
229,377,Onveer Tank,39,2,1
230,38,Ishwar Gopal,59,1,0
231,887,Harrison Dixit,9,1,1
232,659,Neha Memon,66,1,1
233,93,Inaya Nagar,47,2,1
234,174,Chaitaly Gala,89,2,1
235,449,Kabir Virk,79,2,1
236,134,Aarini Sundaram,60,1,0
237,897,Alexander Ramaswamy,53,1,0
238,618,Qabil Gaba,16,2,0
239,159,Sara Ghosh,9,1,0
240,652,Zehaan Maharaj,71,2,1
241,890,Rachita Rajagopalan,82,1,0
242,81,Pranav Munshi,29,1,0
243,179,Bachittar Sengupta,69,2,1
244,994,Lila Karpe,32,1,0
245,599,Anita Swaminathan,89,2,1
246,391,Tanay Devi,24,2,0
247,883,Omkaar Mitra,48,2,0
248,384,Nitara Rai,64,2,0
249,10,Jeremiah Sunder,61,2,1
250,626,Simon Murthy,81,2,1
251,982,Raghav Mallick,17,2,1
252,764,Pahal Narayanan,26,1,1
253,808,Yatan Kala,82,1,0
254,826,Faraj Lalla,78,1,0
255,69,Rudra Sachar,58,2,0
256,703,Benjamin Deep,8,1,0
257,818,Vrinda Mitter,54,2,0
258,343,Lakshmi Agrawal,53,1,1
259,656,Hritik Chokshi,88,2,1
260,468,Jagrati Sastry,18,2,0
261,546,Baljiwan Ghosh,86,1,1
262,981,Sathvik Sekhon,41,1,0
263,232,Azaan Joshi,50,2,0
264,997,Yagnesh Swaminathan,88,1,1
265,967,Harrison Sahni,42,2,0
266,451,Chandresh Sharaf,58,1,1
267,98,Amara Madan,44,2,0
268,859,Triveni Sabharwal,31,1,0
