WitnessID,CaseMasterID,WitnessName,Phone
1,566,Noah Wable,2674619595
2,480,Theodore Dani,08038566614
3,886,Dev Pandit,9200208851
4,302,Rachit Barad,+918432560952
5,985,Omisha Mani,+914868540372
6,699,Agastya Tak,2587315015
7,795,Vihaan Jayaraman,+918990847026
8,122,Mekhala Purohit,+911119549376
9,813,Nisha Goyal,01015010224
10,158,Hamsini Sen,5874662058
11,724,Ekapad Lanka,06656256775
12,9,Zilmil Sidhu,+916216847915
13,470,Hitesh Kuruvilla,+917417160991
14,628,Arin Oommen,3829498816
15,410,Elijah Khalsa,04095431552
16,843,Lohit Sanghvi,6303202882
17,66,Abha Oak,06646949138
18,358,Sanaya Dhingra,+912502029242
19,759,Arunima Varughese,+915008556765
20,912,Pahal Apte,+914937598551
21,208,Devika Kalita,03114244108
22,606,Vansha Rajagopal,+912415337676
23,426,Nitesh Khurana,+919733364210
24,255,Arjun Bhatia,+919341423842
25,485,Barkha Kalla,3786900991
26,254,Raghav Vig,07263666471
27,371,Sanya Vyas,09337848495
28,767,Chandani Vasa,01386409554
29,844,Manthan Tara,+912262108774
30,727,Sai Sengupta,07465417249
31,331,Sai Mangat,8785803879
32,878,Vanya Borah,5995800983
33,770,Yatin Sachdeva,01801207684
34,943,Adweta Mukhopadhyay,+918645876650
35,987,Krish Gokhale,02324923127
36,826,Anthony Bajwa,2207226883
37,919,Vyanjana Rama,09792777309
38,619,Mahika Rastogi,4424306584
39,681,Nakul Dugar,5589331061
40,763,Ranbir Lanka,08433310507
41,160,Garima Upadhyay,+918923784592
42,772,Suhani Sarma,3997049415
43,343,Nimrat Dayal,5146476226
44,420,Riya Chowdhury,0301501408
45,225,Manya Kaul,08549919873
46,851,Anjali Rastogi,+918231788336
47,507,Saanvi Chanda,05287898912
48,565,Zarna Khatri,05399739429
49,704,Sara Issac,1952623949
50,635,Qasim Issac,07520596660
51,820,Lakshmi Som,+918132485826
52,65,Aarini Hora,6586450199
53,869,Waida Manne,1999859632
54,454,Farhan Keer,05578928429
55,592,Bhavini Ramakrishnan,+914119439480
56,898,Mason Badal,+911693022673
57,191,Ojasvi Trivedi,06208731306
58,400,Victor Dyal,08454861693
59,489,Krisha Comar,00307649394
60,331,Madhavi Om,02193129298
61,669,Ronith Shenoy,5983724412
62,184,Hritik Manda,+915412437915
63,970,Samarth Bal,1003918932
64,762,Jhalak Vora,+918618189998
65,71,Laban Butala,+918917504223
66,826,Charles Seshadri,04427740748
67,312,Vaishnavi Mani,+915441103491
68,475,Madhavi Dave,6846128769
69,621,Forum Mangat,02358213944
70,861,William Vig,00695071630
71,292,Frado Gokhale,+918965738092
72,409,Nilima Dara,+911983900437
73,700,David Borah,+914775687228
74,709,Janaki Dayal,+910297958070
75,602,Aarnav Sur,5080734020
76,88,Yashawini Nagy,1356026501
77,711,Urvi Ben,7982232623
78,850,Anita Chakrabarti,09563008669
79,826,Pooja Bhatt,06957812543
80,612,Damini Mukhopadhyay,01914900877
81,832,Yauvani Garde,06578559427
82,756,Libni Pillay,1653709525
83,865,Dhruv Vora,+918558999966
84,148,Ranbir Menon,+911754773157
85,373,Ishani Kamdar,03756163290
86,975,Omaja Kata,+916910948777
87,139,Ganga Oza,03355024241
88,717,Edhitha Dugar,6093940330
89,834,Chaaya Bhatia,04259366954
90,66,Chakrika Deshpande,08105574851
91,485,Kamala Khanna,03677309085
92,856,Chaitanya Kaul,02299484452
93,733,Christopher Basak,01820205812
94,364,David Bajwa,6307394040
95,407,Isaac Nagarajan,02590598285
96,420,Naveen Mitra,00697560669
97,266,Aarnav Dugal,05940518763
98,577,Harinakshi Kala,8808874908
99,756,Amruta Srinivasan,00326833889
100,114,Damyanti Char,5396293644
101,721,Ayush Puri,+910691535115
102,376,Kashish Pai,09888301127
103,405,Aachal Vohra,+912016405367
104,227,Vincent Ganesan,07356934700
105,352,Bachittar Goda,6545674195
106,804,Jason Shukla,2853308993
107,175,Girish Pandey,9009534146
108,545,Gunbir Bhatti,04366229329
109,392,Sara Chand,4188165696
110,485,Bhavani Mohan,08846865965
111,861,Yatan Dua,02708429438
112,297,Indira Pant,07149628949
113,957,Janya Chowdhury,08122132069
114,593,Shaurya Prabhakar,8474415666
115,766,Yash Keer,+916855044630
116,92,Jeevika Sehgal,+918274399672
117,747,Zilmil Choudhury,+917716069348
118,60,Lila Brahmbhatt,04183382403
119,659,Yochana Kalla,5763010820
120,738,Qabil Nori,3400406040
121,595,Yashodhara Tara,6928113137
122,562,Praneel Kari,2240370197
123,233,Bhavya Sachdeva,+910943050209
124,904,Devansh Luthra,+918988380745
125,330,Manya Bhattacharyya,07357854696
126,580,Udant Comar,08329272869
127,858,Aradhana Setty,+915556899205
128,370,Krisha Ghose,+919056106283
129,114,Neha Kibe,1491884470
130,770,Samar Cheema,7700914778
131,586,Chandani Nagy,6509739035
132,873,Chaman Chahal,+911490492599
133,270,Gabriel Jhaveri,+918250971696
134,87,Vanya Morar,08060760911
135,83,Girik Panchal,8771950871
136,250,Harita Handa,+914352508667
137,533,Zayyan Grewal,0445006958
138,671,Darpan Saha,4141550230
139,927,Matthew Ahuja,02573375131
140,423,Kashvi Dugal,+918538111645
141,498,Brinda Deep,+918456849119
142,26,Maya Puri,+914158180151
143,781,Charles Sarraf,+911786766163
144,718,Samuel Deol,9370033714
145,198,Viraj Kohli,06022426562
146,713,Rishi Gade,7746919372
147,715,Unni Krishnamurthy,8535759594
148,69,Vincent Chander,00171703233
149,810,Vansha Dave,+914381019292
150,497,Abhimanyu Iyengar,2688262717
151,46,Nakul Memon,3247716065
152,767,Eesha Mohanty,06014792141
153,37,Chanakya Ravi,5107233987
154,23,Samesh Pal,+914170598340
155,392,Sanaya Kala,06170468480
156,129,Samuel Basu,02201829140
157,796,Ekbal Vyas,3778692692
158,406,Fitan Contractor,9673677619
159,783,Samuel Sibal,07919018105
160,897,George Talwar,+918790745713
161,535,Jeremiah Mittal,02625905521
162,804,Jackson Chakrabarti,6882367441
163,669,Bimala Banerjee,06703407176
164,626,Aarna Boase,3914854654
165,581,Ekani Varghese,+914903604622
166,618,Kritika Nayak,+917689098721
167,537,Zayyan Salvi,0741517685
168,966,Irya Shukla,08511004912
169,215,Meghana Kari,+910656919526
170,314,Janani Pradhan,0497739871
171,505,Vidhi Mander,+914480916689
172,432,Umang Randhawa,+919266052855
173,603,Fariq Lata,0378193437
174,353,Raghav Ganesan,03001569099
175,528,Vaishnavi Doshi,06092589577
176,208,Saksham Goda,00053994506
177,234,Darpan Sridhar,+912887507645
178,641,Vansha Mangat,8672512776
179,610,Devansh Tata,2702002742
180,847,Mason Varma,0435795936
181,452,Alexander Bera,+911980440747
182,366,Mason Kunda,07678386253
183,1000,Meghana Bhakta,+910064694722
184,914,Amaira Arora,07420863306
185,525,Simon Manne,+911339076745
186,406,Yashodhara Raghavan,+914265428012
187,855,Yuvraj Misra,03810660842
188,417,Praneel Sundaram,0386523672
189,497,Sneha Dave,07210796764
190,516,Brijesh Pau,+915712037820
191,308,Aarnav Desai,2750052178
192,246,Upkaar Bahri,03062720005
193,659,Panini Chopra,+912855161901
194,454,Kalpit Mani,2677536780
195,403,Arin Muni,+912867623564
196,919,Vasatika Thakkar,+916858487005
197,438,Ekantika Sahni,+913850624688
198,147,Rohan Khanna,02238311851
199,526,Harita Parikh,+911333232742
200,900,Hemal Badami,+917618674437
201,752,Gaurangi Agarwal,0786903746
202,34,Lajita Gade,02128424936
203,415,Manthan Jain,7025370253
204,988,Varsha Kamdar,+918975126688
205,522,Yashvi Sarma,0044388114
206,26,Yug Garg,+913976230013
207,213,Chaitaly Iyer,+911598666913
208,256,Forum Agrawal,00702259428
209,19,Tara Yadav,+919350199010
210,192,Reva Nadkarni,02873463433
211,910,Gauri Aurora,6034508157
212,724,Simon Acharya,00935895967
213,640,Liam Balan,09538013042
214,384,Nisha Varughese,02307544591
215,777,Utkarsh Dara,+914038670085
216,348,Bhanumati Hayre,07036240360
217,511,Zansi Khare,05860189404
218,964,Chakradev Garde,+914530680108
219,227,Harshil Srivastava,09801965618
220,482,Aarush Manda,06423383053
221,360,Lohit Seth,+917763649271
222,885,Wridesh Tank,6227350022
223,735,Oliver Gole,2629829732
224,756,Onkar Kaur,9966530855
225,846,Anya Tailor,05335375187
226,294,Ladli Wali,3941494822
227,374,Vyanjana Nanda,9809521512
228,382,Ubika Gola,2632342315
229,324,Chatura Banik,07414853541
230,174,Arunima Mukhopadhyay,1260323377
231,929,Chakradhar Dora,00179498289
232,930,Ekiya Deshmukh,+910487891424
233,353,Harish Nagi,+916886095923
234,897,Pushti Zachariah,5944934211
235,86,Kiaan Subramanian,5771979333
236,946,Samuel Kapoor,+912502854316
237,211,Geetika Nair,+918103158442
238,488,Chakradev Raghavan,7221285294
239,881,Vinaya Natarajan,9282748737
240,358,Imaran Sawhney,9693170734
241,844,Harini Munshi,06878749195
242,41,Osha Nayar,07863455146
243,95,Ishani Kar,+915484096876
244,768,Finn Vaidya,7488254335
245,184,Tamanna Sarraf,09947216973
246,166,Wriddhish Dutt,+919622558591
247,108,Sai Kar,+918331215177
248,989,Tarak Gade,2980054272
